How much bias do you feel the outcome has based on the provided explanation?,"Based on the explanation, to what extent do you believe that the suggestion was influenced by factors related to gender?","Based on the explanation, to what extent do you believe that the suggestion was influenced by factors related to race?","Based on the explanation, to what extent do you believe that the suggestion was influenced by factors related to age?",How well did the provided explanation address your concerns about the fairness of the suggestion?,To what extent does the availability of this explanation affect your perception of the fairness of the suggestion?,"On a scale of 1-5, how much did the explanation increase your trust in the suggestion?",How confident are you in the accuracy of the suggestion based on the provided explanation?,Would you be more likely to use this machine learning model again in the future based on the provided explanation?,Please select your age range:,Please select your gender:,Please select your current employment status:,"If you are currently employed, please select the industry in which you work:"
5,2,5,4,4,1,2,3,no,25-34,Male,Student,Other
5,2,5,4,5,1,1,5,no,25-34,Prefer not to say,Full-time employed,Other
4,2,3,2,1,3,1,3,unsure,25-34,Female,Other,Other
4,3,4,2,2,1,1,1,no,25-34,Female,Part-time employed,Other
4,4,4,4,3,4,2,3,no,18-24,Male,Student,Not employed
5,4,5,4,5,5,3,4,no,18-24,Female,Student,Not employed
5,4,5,2,4,5,2,1,no,25-34,Male,Student,Technology
4,1,2,1,3,2,2,3,yes,18-24,Female,Full-time employed,Healthcare
4,2,4,4,2,2,2,3,no,25-34,Female,Part-time employed,Other
3,2,4,4,3,3,5,5,yes,35-44,Female,Full-time employed,Finance
5,5,5,5,5,5,5,5,yes,18-24,Male,Full-time employed,Technology
3,2,1,2,5,3,1,4,no,25-34,Non-binary,Unemployed,Healthcare
